FIRE_YEAR,STATE,FIRE_SIZE,DISCOVERY_DOY
1992,AL,0.77,123
1992,CO,13.87,267
1992,CA,12.76,175
1992,AZ,377.46,119
1992,NV,25.43,212
1992,CA,53.39,134
1992,MS,899.1,276
1992,FL,45.09,218
1992,UT,2.46,292
1992,UT,5.69,192
1992,NV,40.02,223
1992,MT,6.24,255
1992,OR,52.97,173
1992,TX,30.62,183
1992,LA,2.74,147
1992,VA,168.12,237
1992,ID,16.59,135
1992,CO,43.95,154
1992,UT,417.01,257
1992,TN,401.14,154
1992,AZ,909.46,297
1992,NM,5.63,269
1992,FL,128.02,112
1992,TX,116.06,287
1992,ID,266.05,117
1992,GA,111.38,282
1992,TN,584.25,187
1992,VA,26.2,175
1992,GA,130.59,156
1992,AL,30.58,221
1992,ID,112.73,243
1992,WA,24.51,163
1992,NV,16.71,261
1992,ID,12.89,242
1992,FL,574.47,113
1992,OR,45.32,131
1992,CA,1028.09,164
1992,ID,13.25,127
1992,UT,17.01,279
1992,UT,1315.73,243
1992,UT,1506.11,276
1992,NV,53.5,249
1992,FL,28.46,235
1992,WA,158.0,276
1992,MT,0.53,235
1992,FL,1567.82,133
1992,SC,103.26,161
1992,FL,5.25,213
1992,FL,11.19,280
1992,MS,513.05,284
1992,ID,42.76,277
1992,LA,24.76,278
1992,WA,2199.51,244
1992,ID,2301.24,202
1992,MS,221.53,283
1992,LA,435.28,204
1992,AL,85.86,146
1992,SC,306.3,260
1992,MS,11.32,121
1992,ID,1516.46,271
1992,NV,31.96,186
1992,MT,1979.45,226
1992,CO,3375.89,287
1992,UT,53.27,228
1992,CO,53.92,224
1992,GA,7.43,229
1992,MS,0.73,211
1992,SC,118.25,157
1992,CA,7.09,273
1992,NM,532.67,141
1992,WA,2.59,179
1992,TX,19.24,186
1992,SC,2.15,157
1992,LA,87.66,111
1992,TX,10.13,291
1992,ID,35.81,295
1992,AL,21.35,193
1992,ID,21.02,213
1992,VA,19.52,250
1992,CA,16.33,262
1992,SC,68.76,256
1992,NV,246.22,273
1992,AZ,11.58,256
1992,UT,58.48,205
1992,CO,3.39,171
1992,LA,654.01,104
1992,NC,129.56,140
1992,FL,17.49,128
1992,LA,373.93,280
1992,MS,120.28,222
1992,CO,12.14,257
1992,AZ,61.52,110
1992,OR,614.46,106
1992,TX,37.53,131
1992,NM,89.93,123
1992,NM,7.79,145
1992,GA,79.15,142
