year,n_floods
1950,101
1951,115
1952,103
1953,132
1954,139
1955,129
1956,150
1957,105
1958,89
1959,145
1960,152
1961,124
1962,119
1963,159
1964,237
1965,239
1966,313
1967,293
1968,302
1969,253
1970,324
1971,277
1972,263
1973,297
1974,314
1975,280
1976,323
1977,469
1978,454
1979,439
1980,472
1981,519
1982,607
1983,828
1984,618
1985,667
1986,561
1987,708
1988,767
1989,660
1990,1050
1991,895
1992,835
1993,1028
1994,978
1995,977
1996,906
1997,1017
1998,1158
1999,1327
2000,1547
2001,1464
2002,1631
2003,1407
2004,1399
2005,1681
2006,1659
2007,1610
2008,1410
2009,1419
2010,1598
2011,1332
2012,1377
2013,1334
2014,1269
2015,1555
2016,1357
2017,1427
2018,1253
2019,1602
2020,1635
2021,1721
2022,1685
2023,1723
2024,1708
2025,1426
