year,mean_ONI,max_ONI,min_ONI,months_el_nino,months_la_nina,dominant_phase,annual_temp_anomaly,n_fires,total_area_burned,mean_fire_size,large_fires,n_floods,ONI_lag1,ONI_lag2
1950,-0.8583333333333334,-0.4,-1.5,0,9,La Nina,-0.17500000000000002,,,,,101.0,,
1951,0.44166666666666665,1.2,-0.8,7,2,El Nino,-0.06833333333333334,,,,,115.0,-0.8583333333333334,
1952,0.16666666666666666,0.5,-0.1,1,0,Neutral,0.01,,,,,103.0,0.44166666666666665,-0.8583333333333334
1953,0.7083333333333334,0.8,0.4,11,0,El Nino,0.07916666666666668,,,,,132.0,0.16666666666666666,0.44166666666666665
1954,-0.3833333333333333,0.8,-0.9,2,8,La Nina,-0.13333333333333333,,,,,139.0,0.7083333333333334,0.16666666666666666
1955,-0.9500000000000001,-0.6,-1.7,0,12,La Nina,-0.14,,,,,129.0,-0.3833333333333333,0.7083333333333334
1956,-0.5750000000000001,-0.4,-1.1,0,9,La Nina,-0.18999999999999997,,,,,150.0,-0.9500000000000001,-0.3833333333333333
1957,0.9583333333333334,1.7,-0.2,9,0,El Nino,0.047499999999999994,,,,,105.0,-0.5750000000000001,-0.9500000000000001
1958,0.8250000000000001,1.8,0.4,9,0,El Nino,0.06,,,,,89.0,0.9583333333333334,-0.5750000000000001
1959,0.125,0.6,-0.3,3,0,Neutral,0.030833333333333334,,,,,145.0,0.8250000000000001,0.9583333333333334
1960,0.05833333333333333,0.3,-0.1,0,0,Neutral,-0.024999999999999994,,,,,152.0,0.125,0.8250000000000001
1961,-0.03333333333333333,0.3,-0.3,0,0,Neutral,0.057499999999999996,,,,,124.0,0.05833333333333333,0.125
1962,-0.20833333333333334,0.0,-0.4,0,0,Neutral,0.030833333333333334,,,,,119.0,-0.03333333333333333,0.05833333333333333
1963,0.6583333333333333,1.4,-0.4,7,0,El Nino,0.05416666666666667,,,,,159.0,-0.20833333333333334,-0.03333333333333333
1964,-0.35000000000000003,1.1,-0.8,2,8,La Nina,-0.19833333333333333,,,,,237.0,0.6583333333333333,-0.20833333333333334
1965,0.8999999999999999,2.0,-0.6,8,1,El Nino,-0.10666666666666667,,,,,239.0,-0.35000000000000003,0.6583333333333333
1966,0.375,1.4,-0.3,4,0,El Nino,-0.055,,,,,313.0,0.8999999999999999,-0.35000000000000003
1967,-0.3,0.0,-0.5,0,2,Neutral,-0.023333333333333334,,,,,293.0,0.375,0.8999999999999999
1968,0.1416666666666667,1.0,-0.7,5,3,El Nino,-0.08333333333333333,,,,,302.0,-0.3,0.375
1969,0.7416666666666667,1.1,0.4,10,0,El Nino,0.051666666666666666,,,,,253.0,0.1416666666666667,-0.3
1970,-0.325,0.5,-1.1,1,6,La Nina,0.0275,,,,,324.0,0.7416666666666667,0.1416666666666667
1971,-0.9416666666666668,-0.7,-1.4,0,12,La Nina,-0.08,,,,,277.0,-0.325,0.7416666666666667
1972,0.9249999999999999,2.1,-0.7,8,1,El Nino,0.007500000000000001,,,,,263.0,-0.9416666666666668,-0.325
1973,-0.625,1.8,-2.0,3,8,La Nina,0.16,,,,,297.0,0.9249999999999999,-0.9416666666666668
1974,-0.8833333333333333,-0.4,-1.8,0,10,La Nina,-0.07083333333333333,,,,,314.0,-0.625,0.9249999999999999
1975,-1.0583333333333333,-0.5,-1.7,0,12,La Nina,-0.013333333333333336,,,,,280.0,-0.8833333333333333,-0.625
1976,-0.04999999999999999,0.9,-1.6,4,4,El Nino,-0.09666666666666666,,,,,323.0,-1.0583333333333333,-0.8833333333333333
1977,0.5,0.8,0.2,6,0,El Nino,0.1775,,,,,469.0,-0.04999999999999999,-1.0583333333333333
1978,-0.10000000000000002,0.7,-0.4,1,0,Neutral,0.06666666666666667,,,,,454.0,0.5,-0.04999999999999999
1979,0.24166666666666667,0.6,0.0,3,0,Neutral,0.165,,,,,439.0,-0.10000000000000002,0.5
1980,0.25833333333333336,0.6,-0.1,4,0,El Nino,0.25416666666666665,,,,,472.0,0.24166666666666667,-0.10000000000000002
1981,-0.2833333333333333,-0.1,-0.5,0,2,Neutral,0.32083333333333336,,,,,519.0,0.25833333333333336,0.24166666666666667
1982,1.0083333333333335,2.2,0.0,9,0,El Nino,0.13833333333333334,,,,,607.0,-0.2833333333333333,0.25833333333333336
1983,0.47500000000000003,2.2,-1.0,6,4,El Nino,0.31166666666666665,,,,,828.0,1.0083333333333335,-0.2833333333333333
1984,-0.4916666666666667,-0.2,-1.1,0,5,La Nina,0.155,,,,,618.0,0.47500000000000003,1.0083333333333335
1985,-0.6,-0.3,-1.0,0,8,La Nina,0.11666666666666665,,,,,667.0,-0.4916666666666667,0.47500000000000003
1986,0.2416666666666667,1.2,-0.5,4,2,El Nino,0.17916666666666667,,,,,561.0,-0.6,-0.4916666666666667
1987,1.2750000000000001,1.7,0.9,12,0,El Nino,0.32,,,,,708.0,0.2416666666666667,-0.6
1988,-0.8166666666666668,0.8,-1.8,2,8,La Nina,0.38666666666666666,,,,,767.0,1.2750000000000001,0.2416666666666667
1989,-0.6083333333333333,-0.1,-1.7,0,5,La Nina,0.2708333333333333,,,,,660.0,-0.8166666666666668,1.2750000000000001
1990,0.30833333333333335,0.4,0.1,0,0,Neutral,0.44583333333333336,,,,,1050.0,-0.6083333333333333,-0.8166666666666668
1991,0.6416666666666666,1.5,0.2,8,0,El Nino,0.4025,,,,,895.0,0.30833333333333335,-0.6083333333333333
1992,0.6416666666666667,1.7,-0.3,6,0,El Nino,0.22166666666666668,5369.0,1318364.3,245.5511827155895,210.0,835.0,0.6416666666666666,0.30833333333333335
1993,0.325,0.7,0.0,4,0,El Nino,0.2316666666666667,5513.0,1459514.32,264.74048975149645,254.0,1028.0,0.6416666666666667,0.6416666666666666
1994,0.47500000000000003,1.1,0.1,4,0,El Nino,0.3125,5661.0,1427501.96,252.1642748630984,254.0,978.0,0.325,0.6416666666666667
1995,-0.15833333333333335,1.0,-1.0,3,5,La Nina,0.44333333333333336,5509.0,1431571.51,259.8605028135778,251.0,977.0,0.47500000000000003,0.325
1996,-0.4666666666666666,-0.3,-0.9,0,4,La Nina,0.33,5583.0,1346885.95,241.2477073258105,225.0,906.0,-0.15833333333333335,0.47500000000000003
1997,1.1666666666666667,2.4,-0.5,8,1,El Nino,0.4633333333333334,7975.0,10287886.2,1290.017078369906,920.0,1017.0,-0.4666666666666666,-0.15833333333333335
1998,-0.06666666666666667,2.2,-1.6,5,6,La Nina,0.6075,8015.0,9481153.91,1182.9262520274485,977.0,1158.0,1.1666666666666667,-0.4666666666666666
1999,-1.2333333333333334,-1.0,-1.7,0,12,La Nina,0.38166666666666665,5495.0,1325248.93,241.17359963603275,275.0,1327.0,-0.06666666666666667,1.1666666666666667
2000,-0.8250000000000001,-0.5,-1.7,0,12,La Nina,0.3925,5403.0,1251840.47,231.693590597816,228.0,1547.0,-1.2333333333333334,-0.06666666666666667
2001,-0.3,-0.1,-0.7,0,2,Neutral,0.5308333333333334,5511.0,1326138.95,240.63490292142987,242.0,1464.0,-0.8250000000000001,-1.2333333333333334
2002,0.6333333333333333,1.3,-0.1,7,0,El Nino,0.6275000000000001,7982.0,17969041.02,2251.195316963167,925.0,1631.0,-0.3,-0.8250000000000001
2003,0.25833333333333336,0.9,-0.3,2,0,Neutral,0.6133333333333333,5528.0,1364739.5,246.87762301013024,267.0,1407.0,0.6333333333333333,-0.3
2004,0.4583333333333333,0.7,0.2,6,0,El Nino,0.5316666666666666,5598.0,1318652.12,235.5577206145052,262.0,1399.0,0.25833333333333336,0.6333333333333333
2005,0.033333333333333326,0.6,-0.8,2,2,Neutral,0.6775000000000001,5471.0,1441044.3,263.3968744288064,250.0,1681.0,0.4583333333333333,0.25833333333333336
2006,0.05833333333333333,0.9,-0.9,4,3,El Nino,0.6383333333333333,5473.0,1390840.35,254.1275991229673,265.0,1659.0,0.033333333333333326,0.4583333333333333
2007,-0.6083333333333334,0.7,-1.6,1,7,La Nina,0.6633333333333333,5486.0,2124286.66,387.2195880422895,219.0,1610.0,0.05833333333333333,0.033333333333333326
2008,-0.775,-0.2,-1.6,0,8,La Nina,0.5416666666666666,5562.0,1425883.51,256.3616522833513,234.0,1410.0,-0.6083333333333334,0.05833333333333333
2009,0.3,1.6,-0.8,6,3,El Nino,0.655,7980.0,7599453.01,952.3124072681704,886.0,1419.0,-0.775,-0.6083333333333334
2010,-0.46666666666666673,1.5,-1.6,3,7,La Nina,0.7225,5410.0,1170327.46,216.32670240295747,228.0,1598.0,0.3,-0.775
2011,-0.775,-0.4,-1.3,0,10,La Nina,0.6058333333333333,5527.0,1571424.27,284.3177618961462,243.0,1332.0,-0.46666666666666673,0.3
2012,-0.075,0.4,-0.7,0,3,Neutral,0.6425,5511.0,1532100.13,278.0076447105788,247.0,1377.0,-0.775,-0.46666666666666673
2013,-0.24166666666666667,-0.1,-0.4,0,0,Neutral,0.6741666666666667,5625.0,1327724.04,236.03982933333333,229.0,1334.0,-0.075,-0.775
2014,0.20833333333333334,0.8,-0.3,3,0,Neutral,0.7475,5412.0,1476474.8599999999,272.815014781966,264.0,1269.0,-0.24166666666666667,-0.075
2015,1.5583333333333333,2.8,0.6,12,0,El Nino,0.895,8018.0,11184202.52,1394.8868196557744,896.0,1555.0,0.20833333333333334,-0.24166666666666667
2016,0.4166666666666667,2.6,-0.6,5,5,El Nino,1.0083333333333333,7962.0,11278028.61,1416.481865109269,877.0,1357.0,1.5583333333333333,0.20833333333333334
2017,-0.11666666666666665,0.4,-0.9,0,3,Neutral,0.9141666666666667,5560.0,1270296.98,228.4706798561151,239.0,1427.0,0.4166666666666667,1.5583333333333333
2018,0.09166666666666667,1.0,-0.8,4,3,El Nino,0.8475,5539.0,1421932.12,256.71278570139015,242.0,1253.0,-0.11666666666666665,0.4166666666666667
2019,0.5750000000000001,0.9,0.2,8,0,El Nino,0.9783333333333334,5543.0,1259882.94,227.2926104997294,249.0,1602.0,0.09166666666666667,-0.11666666666666665
