year,month,ONI,enso_phase,enso_strength,temp_anomaly
1950,1,-1.5,La Nina,Strong La Nina,-0.26
1950,2,-1.3,La Nina,Weak/Mod La Nina,-0.27
1950,3,-1.2,La Nina,Weak/Mod La Nina,-0.08
1950,4,-1.2,La Nina,Weak/Mod La Nina,-0.21
1950,5,-1.1,La Nina,Weak/Mod La Nina,-0.11
1950,6,-0.9,La Nina,Weak/Mod La Nina,-0.05
1950,7,-0.5,La Nina,Weak/Mod La Nina,-0.09
1950,8,-0.4,Neutral,Neutral,-0.16
1950,9,-0.4,Neutral,Neutral,-0.11
1950,10,-0.4,Neutral,Neutral,-0.2
1950,11,-0.6,La Nina,Weak/Mod La Nina,-0.34
1950,12,-0.8,La Nina,Weak/Mod La Nina,-0.22
1951,1,-0.8,La Nina,Weak/Mod La Nina,-0.34
1951,2,-0.5,La Nina,Weak/Mod La Nina,-0.41
1951,3,-0.2,Neutral,Neutral,-0.2
1951,4,0.2,Neutral,Neutral,-0.14
1951,5,0.4,Neutral,Neutral,0.0
1951,6,0.6,El Nino,Weak/Mod El Nino,-0.06
1951,7,0.7,El Nino,Weak/Mod El Nino,-0.01
1951,8,0.9,El Nino,Weak/Mod El Nino,0.06
1951,9,1.0,El Nino,Weak/Mod El Nino,0.05
1951,10,1.2,El Nino,Weak/Mod El Nino,0.08
1951,11,1.0,El Nino,Weak/Mod El Nino,-0.01
1951,12,0.8,El Nino,Weak/Mod El Nino,0.16
1952,1,0.5,El Nino,Weak/Mod El Nino,0.11
1952,2,0.4,Neutral,Neutral,0.11
1952,3,0.3,Neutral,Neutral,-0.08
1952,4,0.3,Neutral,Neutral,0.03
1952,5,0.2,Neutral,Neutral,-0.03
1952,6,0.0,Neutral,Neutral,-0.03
1952,7,-0.1,Neutral,Neutral,0.04
1952,8,0.0,Neutral,Neutral,0.05
1952,9,0.2,Neutral,Neutral,0.07
1952,10,0.1,Neutral,Neutral,0.0
1952,11,0.0,Neutral,Neutral,-0.13
1952,12,0.1,Neutral,Neutral,-0.02
1953,1,0.4,Neutral,Neutral,0.07
1953,2,0.6,El Nino,Weak/Mod El Nino,0.15
1953,3,0.6,El Nino,Weak/Mod El Nino,0.11
1953,4,0.7,El Nino,Weak/Mod El Nino,0.19
1953,5,0.8,El Nino,Weak/Mod El Nino,0.11
1953,6,0.8,El Nino,Weak/Mod El Nino,0.12
1953,7,0.7,El Nino,Weak/Mod El Nino,0.01
1953,8,0.7,El Nino,Weak/Mod El Nino,0.05
1953,9,0.8,El Nino,Weak/Mod El Nino,0.04
1953,10,0.8,El Nino,Weak/Mod El Nino,0.08
1953,11,0.8,El Nino,Weak/Mod El Nino,-0.03
1953,12,0.8,El Nino,Weak/Mod El Nino,0.05
1954,1,0.8,El Nino,Weak/Mod El Nino,-0.24
1954,2,0.5,El Nino,Weak/Mod El Nino,-0.1
1954,3,0.0,Neutral,Neutral,-0.15
1954,4,-0.4,Neutral,Neutral,-0.14
1954,5,-0.5,La Nina,Weak/Mod La Nina,-0.2
1954,6,-0.5,La Nina,Weak/Mod La Nina,-0.19
1954,7,-0.6,La Nina,Weak/Mod La Nina,-0.19
1954,8,-0.8,La Nina,Weak/Mod La Nina,-0.17
1954,9,-0.9,La Nina,Weak/Mod La Nina,-0.1
1954,10,-0.8,La Nina,Weak/Mod La Nina,-0.02
1954,11,-0.7,La Nina,Weak/Mod La Nina,0.08
1954,12,-0.7,La Nina,Weak/Mod La Nina,-0.18
1955,1,-0.7,La Nina,Weak/Mod La Nina,0.13
1955,2,-0.6,La Nina,Weak/Mod La Nina,-0.16
1955,3,-0.7,La Nina,Weak/Mod La Nina,-0.32
1955,4,-0.8,La Nina,Weak/Mod La Nina,-0.22
1955,5,-0.8,La Nina,Weak/Mod La Nina,-0.2
1955,6,-0.7,La Nina,Weak/Mod La Nina,-0.13
1955,7,-0.7,La Nina,Weak/Mod La Nina,-0.11
1955,8,-0.7,La Nina,Weak/Mod La Nina,0.02
1955,9,-1.1,La Nina,Weak/Mod La Nina,-0.11
1955,10,-1.4,La Nina,Weak/Mod La Nina,-0.05
1955,11,-1.7,La Nina,Strong La Nina,-0.25
1955,12,-1.5,La Nina,Strong La Nina,-0.28
1956,1,-1.1,La Nina,Weak/Mod La Nina,-0.13
1956,2,-0.8,La Nina,Weak/Mod La Nina,-0.24
1956,3,-0.6,La Nina,Weak/Mod La Nina,-0.21
1956,4,-0.5,La Nina,Weak/Mod La Nina,-0.28
1956,5,-0.5,La Nina,Weak/Mod La Nina,-0.29
1956,6,-0.5,La Nina,Weak/Mod La Nina,-0.15
1956,7,-0.6,La Nina,Weak/Mod La Nina,-0.09
1956,8,-0.6,La Nina,Weak/Mod La Nina,-0.25
1956,9,-0.5,La Nina,Weak/Mod La Nina,-0.19
1956,10,-0.4,Neutral,Neutral,-0.23
1956,11,-0.4,Neutral,Neutral,-0.15
1956,12,-0.4,Neutral,Neutral,-0.07
1957,1,-0.2,Neutral,Neutral,-0.09
1957,2,0.1,Neutral,Neutral,-0.03
1957,3,0.4,Neutral,Neutral,-0.05
1957,4,0.7,El Nino,Weak/Mod El Nino,0.0
1957,5,0.9,El Nino,Weak/Mod El Nino,0.09
1957,6,1.1,El Nino,Weak/Mod El Nino,0.15
1957,7,1.3,El Nino,Weak/Mod El Nino,0.02
1957,8,1.3,El Nino,Weak/Mod El Nino,0.15
1957,9,1.3,El Nino,Weak/Mod El Nino,0.09
1957,10,1.4,El Nino,Weak/Mod El Nino,0.01
1957,11,1.5,El Nino,Strong El Nino,0.08
1957,12,1.7,El Nino,Strong El Nino,0.15
1958,1,1.8,El Nino,Strong El Nino,0.39
1958,2,1.7,El Nino,Strong El Nino,0.22
1958,3,1.3,El Nino,Weak/Mod El Nino,0.09
1958,4,0.9,El Nino,Weak/Mod El Nino,0.01
1958,5,0.7,El Nino,Weak/Mod El Nino,0.06
1958,6,0.6,El Nino,Weak/Mod El Nino,-0.09
1958,7,0.6,El Nino,Weak/Mod El Nino,0.05
1958,8,0.4,Neutral,Neutral,-0.05
1958,9,0.4,Neutral,Neutral,-0.03
1958,10,0.4,Neutral,Neutral,0.04
1958,11,0.5,El Nino,Weak/Mod El Nino,0.02
1958,12,0.6,El Nino,Weak/Mod El Nino,0.01
1959,1,0.6,El Nino,Weak/Mod El Nino,0.08
1959,2,0.6,El Nino,Weak/Mod El Nino,0.07
1959,3,0.5,El Nino,Weak/Mod El Nino,0.18
1959,4,0.3,Neutral,Neutral,0.16
1959,5,0.2,Neutral,Neutral,0.04
1959,6,-0.1,Neutral,Neutral,0.03
1959,7,-0.2,Neutral,Neutral,0.03
1959,8,-0.3,Neutral,Neutral,-0.01
1959,9,-0.1,Neutral,Neutral,-0.06
1959,10,0.0,Neutral,Neutral,-0.07
1959,11,0.0,Neutral,Neutral,-0.08
1959,12,0.0,Neutral,Neutral,0.0
1960,1,-0.1,Neutral,Neutral,0.0
1960,2,-0.1,Neutral,Neutral,0.13
1960,3,-0.1,Neutral,Neutral,-0.35
1960,4,0.0,Neutral,Neutral,-0.15
1960,5,0.0,Neutral,Neutral,-0.08
1960,6,0.0,Neutral,Neutral,-0.04
1960,7,0.1,Neutral,Neutral,-0.04
1960,8,0.2,Neutral,Neutral,0.02
1960,9,0.3,Neutral,Neutral,0.07
1960,10,0.2,Neutral,Neutral,0.06
1960,11,0.1,Neutral,Neutral,-0.11
1960,12,0.1,Neutral,Neutral,0.19
1961,1,0.0,Neutral,Neutral,0.07
1961,2,0.0,Neutral,Neutral,0.19
1961,3,0.0,Neutral,Neutral,0.09
1961,4,0.1,Neutral,Neutral,0.13
1961,5,0.2,Neutral,Neutral,0.12
1961,6,0.3,Neutral,Neutral,0.12
1961,7,0.1,Neutral,Neutral,0.01
1961,8,-0.1,Neutral,Neutral,0.01
1961,9,-0.3,Neutral,Neutral,0.08
1961,10,-0.3,Neutral,Neutral,0.0
1961,11,-0.2,Neutral,Neutral,0.03
1961,12,-0.2,Neutral,Neutral,-0.16
1962,1,-0.2,Neutral,Neutral,0.05
1962,2,-0.2,Neutral,Neutral,0.15
1962,3,-0.2,Neutral,Neutral,0.1
1962,4,-0.3,Neutral,Neutral,0.05
1962,5,-0.3,Neutral,Neutral,-0.06
1962,6,-0.2,Neutral,Neutral,0.03
1962,7,0.0,Neutral,Neutral,0.02
1962,8,-0.1,Neutral,Neutral,-0.01
1962,9,-0.1,Neutral,Neutral,0.0
1962,10,-0.2,Neutral,Neutral,0.01
1962,11,-0.3,Neutral,Neutral,0.06
1962,12,-0.4,Neutral,Neutral,-0.03
1963,1,-0.4,Neutral,Neutral,-0.03
1963,2,-0.2,Neutral,Neutral,0.18
1963,3,0.2,Neutral,Neutral,-0.14
1963,4,0.3,Neutral,Neutral,-0.07
1963,5,0.3,Neutral,Neutral,-0.06
1963,6,0.5,El Nino,Weak/Mod El Nino,0.05
1963,7,0.9,El Nino,Weak/Mod El Nino,0.06
1963,8,1.1,El Nino,Weak/Mod El Nino,0.22
1963,9,1.2,El Nino,Weak/Mod El Nino,0.17
1963,10,1.3,El Nino,Weak/Mod El Nino,0.15
1963,11,1.4,El Nino,Weak/Mod El Nino,0.15
1963,12,1.3,El Nino,Weak/Mod El Nino,-0.03
1964,1,1.1,El Nino,Weak/Mod El Nino,-0.09
1964,2,0.6,El Nino,Weak/Mod El Nino,-0.1
1964,3,0.1,Neutral,Neutral,-0.21
1964,4,-0.3,Neutral,Neutral,-0.32
1964,5,-0.6,La Nina,Weak/Mod La Nina,-0.25
1964,6,-0.6,La Nina,Weak/Mod La Nina,-0.04
1964,7,-0.6,La Nina,Weak/Mod La Nina,-0.04
1964,8,-0.7,La Nina,Weak/Mod La Nina,-0.22
1964,9,-0.8,La Nina,Weak/Mod La Nina,-0.29
1964,10,-0.8,La Nina,Weak/Mod La Nina,-0.31
1964,11,-0.8,La Nina,Weak/Mod La Nina,-0.21
1964,12,-0.8,La Nina,Weak/Mod La Nina,-0.3
1965,1,-0.6,La Nina,Weak/Mod La Nina,-0.08
1965,2,-0.3,Neutral,Neutral,-0.17
1965,3,-0.1,Neutral,Neutral,-0.13
1965,4,0.2,Neutral,Neutral,-0.19
1965,5,0.5,El Nino,Weak/Mod El Nino,-0.12
1965,6,0.8,El Nino,Weak/Mod El Nino,-0.08
1965,7,1.2,El Nino,Weak/Mod El Nino,-0.13
1965,8,1.5,El Nino,Strong El Nino,-0.04
1965,9,1.9,El Nino,Strong El Nino,-0.15
1965,10,2.0,El Nino,Strong El Nino,-0.05
1965,11,2.0,El Nino,Strong El Nino,-0.06
1965,12,1.7,El Nino,Strong El Nino,-0.08
1966,1,1.4,El Nino,Weak/Mod El Nino,-0.19
1966,2,1.2,El Nino,Weak/Mod El Nino,-0.04
1966,3,1.0,El Nino,Weak/Mod El Nino,0.04
1966,4,0.7,El Nino,Weak/Mod El Nino,-0.13
1966,5,0.4,Neutral,Neutral,-0.12
1966,6,0.2,Neutral,Neutral,0.01
1966,7,0.2,Neutral,Neutral,0.08
1966,8,0.1,Neutral,Neutral,-0.09
1966,9,-0.1,Neutral,Neutral,-0.03
1966,10,-0.1,Neutral,Neutral,-0.17
1966,11,-0.2,Neutral,Neutral,0.0
1966,12,-0.3,Neutral,Neutral,-0.02
1967,1,-0.4,Neutral,Neutral,-0.07
1967,2,-0.5,La Nina,Weak/Mod La Nina,-0.21
1967,3,-0.5,La Nina,Weak/Mod La Nina,0.05
1967,4,-0.4,Neutral,Neutral,-0.05
1967,5,-0.2,Neutral,Neutral,0.12
1967,6,0.0,Neutral,Neutral,-0.08
1967,7,0.0,Neutral,Neutral,0.02
1967,8,-0.2,Neutral,Neutral,0.01
1967,9,-0.3,Neutral,Neutral,-0.06
1967,10,-0.4,Neutral,Neutral,0.09
1967,11,-0.3,Neutral,Neutral,-0.05
1967,12,-0.4,Neutral,Neutral,-0.05
1968,1,-0.6,La Nina,Weak/Mod La Nina,-0.26
1968,2,-0.7,La Nina,Weak/Mod La Nina,-0.14
1968,3,-0.6,La Nina,Weak/Mod La Nina,0.2
1968,4,-0.4,Neutral,Neutral,-0.06
1968,5,0.0,Neutral,Neutral,-0.14
1968,6,0.3,Neutral,Neutral,-0.09
1968,7,0.6,El Nino,Weak/Mod El Nino,-0.13
1968,8,0.5,El Nino,Weak/Mod El Nino,-0.09
1968,9,0.4,Neutral,Neutral,-0.19
1968,10,0.5,El Nino,Weak/Mod El Nino,0.09
1968,11,0.7,El Nino,Weak/Mod El Nino,-0.05
1968,12,1.0,El Nino,Weak/Mod El Nino,-0.14
1969,1,1.1,El Nino,Weak/Mod El Nino,-0.11
