SEAS YR   ANOM
DJF  1950 -1.5
JFM  1950 -1.3
FMA  1950 -1.2
MAM  1950 -1.2
AMJ  1950 -1.1
MJJ  1950 -0.9
JJA  1950 -0.5
JAS  1950 -0.4
ASO  1950 -0.4
SON  1950 -0.4
OND  1950 -0.6
NDJ  1950 -0.8
DJF  1951 -0.8
JFM  1951 -0.5
FMA  1951 -0.2
MAM  1951  0.2
AMJ  1951  0.4
MJJ  1951  0.6
JJA  1951  0.7
JAS  1951  0.9
ASO  1951  1.0
SON  1951  1.2
OND  1951  1.0
NDJ  1951  0.8
DJF  1952  0.5
JFM  1952  0.4
FMA  1952  0.3
MAM  1952  0.3
AMJ  1952  0.2
MJJ  1952  0.0
JJA  1952 -0.1
JAS  1952  0.0
ASO  1952  0.2
SON  1952  0.1
OND  1952  0.0
NDJ  1952  0.1
DJF  1953  0.4
JFM  1953  0.6
FMA  1953  0.6
MAM  1953  0.7
AMJ  1953  0.8
MJJ  1953  0.8
JJA  1953  0.7
JAS  1953  0.7
ASO  1953  0.8
SON  1953  0.8
OND  1953  0.8
NDJ  1953  0.8
DJF  1954  0.8
JFM  1954  0.5
FMA  1954  0.0
MAM  1954 -0.4
AMJ  1954 -0.5
MJJ  1954 -0.5
JJA  1954 -0.6
JAS  1954 -0.8
ASO  1954 -0.9
SON  1954 -0.8
OND  1954 -0.7
NDJ  1954 -0.7
DJF  1955 -0.7
JFM  1955 -0.6
FMA  1955 -0.7
MAM  1955 -0.8
AMJ  1955 -0.8
MJJ  1955 -0.7
JJA  1955 -0.7
JAS  1955 -0.7
ASO  1955 -1.1
SON  1955 -1.4
OND  1955 -1.7
NDJ  1955 -1.5
DJF  1956 -1.1
JFM  1956 -0.8
FMA  1956 -0.6
MAM  1956 -0.5
AMJ  1956 -0.5
MJJ  1956 -0.5
JJA  1956 -0.6
JAS  1956 -0.6
ASO  1956 -0.5
SON  1956 -0.4
OND  1956 -0.4
NDJ  1956 -0.4
DJF  1957 -0.2
JFM  1957  0.1
FMA  1957  0.4
MAM  1957  0.7
AMJ  1957  0.9
MJJ  1957  1.1
JJA  1957  1.3
JAS  1957  1.3
ASO  1957  1.3
SON  1957  1.4
OND  1957  1.5
NDJ  1957  1.7
DJF  1958  1.8
JFM  1958  1.7
FMA  1958  1.3
MAM  1958  0.9
AMJ  1958  0.7
MJJ  1958  0.6
JJA  1958  0.6
JAS  1958  0.4
ASO  1958  0.4
SON  1958  0.4
OND  1958  0.5
NDJ  1958  0.6
DJF  1959  0.6
JFM  1959  0.6
FMA  1959  0.5
MAM  1959  0.3
AMJ  1959  0.2
MJJ  1959 -0.1
JJA  1959 -0.2
JAS  1959 -0.3
ASO  1959 -0.1
SON  1959  0.0
OND  1959  0.0
NDJ  1959  0.0
DJF  1960 -0.1
JFM  1960 -0.1
FMA  1960 -0.1
MAM  1960  0.0
AMJ  1960  0.0
MJJ  1960  0.0
JJA  1960  0.1
JAS  1960  0.2
ASO  1960  0.3
SON  1960  0.2
OND  1960  0.1
NDJ  1960  0.1
DJF  1961  0.0
JFM  1961  0.0
FMA  1961  0.0
MAM  1961  0.1
AMJ  1961  0.2
MJJ  1961  0.3
JJA  1961  0.1
JAS  1961 -0.1
ASO  1961 -0.3
SON  1961 -0.3
OND  1961 -0.2
NDJ  1961 -0.2
DJF  1962 -0.2
JFM  1962 -0.2
FMA  1962 -0.2
MAM  1962 -0.3
AMJ  1962 -0.3
MJJ  1962 -0.2
JJA  1962  0.0
JAS  1962 -0.1
ASO  1962 -0.1
SON  1962 -0.2
OND  1962 -0.3
NDJ  1962 -0.4
DJF  1963 -0.4
JFM  1963 -0.2
FMA  1963  0.2
MAM  1963  0.3
AMJ  1963  0.3
MJJ  1963  0.5
JJA  1963  0.9
JAS  1963  1.1
ASO  1963  1.2
SON  1963  1.3
OND  1963  1.4
NDJ  1963  1.3
DJF  1964  1.1
JFM  1964  0.6
FMA  1964  0.1
MAM  1964 -0.3
AMJ  1964 -0.6
MJJ  1964 -0.6
JJA  1964 -0.6
JAS  1964 -0.7
ASO  1964 -0.8
SON  1964 -0.8
OND  1964 -0.8
NDJ  1964 -0.8
DJF  1965 -0.6
JFM  1965 -0.3
FMA  1965 -0.1
MAM  1965  0.2
AMJ  1965  0.5
MJJ  1965  0.8
JJA  1965  1.2
JAS  1965  1.5
ASO  1965  1.9
SON  1965  2.0
OND  1965  2.0
NDJ  1965  1.7
DJF  1966  1.4
JFM  1966  1.2
FMA  1966  1.0
MAM  1966  0.7
AMJ  1966  0.4
MJJ  1966  0.2
JJA  1966  0.2
JAS  1966  0.1
ASO  1966 -0.1
SON  1966 -0.1
OND  1966 -0.2
NDJ  1966 -0.3
DJF  1967 -0.4
JFM  1967 -0.5
FMA  1967 -0.5
MAM  1967 -0.4
AMJ  1967 -0.2
MJJ  1967  0.0
JJA  1967  0.0
JAS  1967 -0.2
