year,month,season,ONI,enso_phase,enso_strength
1950,1,DJF,-1.5,La Nina,Strong La Nina
1950,2,JFM,-1.3,La Nina,Weak/Mod La Nina
1950,3,FMA,-1.2,La Nina,Weak/Mod La Nina
1950,4,MAM,-1.2,La Nina,Weak/Mod La Nina
1950,5,AMJ,-1.1,La Nina,Weak/Mod La Nina
1950,6,MJJ,-0.9,La Nina,Weak/Mod La Nina
1950,7,JJA,-0.5,La Nina,Weak/Mod La Nina
1950,8,JAS,-0.4,Neutral,Neutral
1950,9,ASO,-0.4,Neutral,Neutral
1950,10,SON,-0.4,Neutral,Neutral
1950,11,OND,-0.6,La Nina,Weak/Mod La Nina
1950,12,NDJ,-0.8,La Nina,Weak/Mod La Nina
1951,1,DJF,-0.8,La Nina,Weak/Mod La Nina
1951,2,JFM,-0.5,La Nina,Weak/Mod La Nina
1951,3,FMA,-0.2,Neutral,Neutral
1951,4,MAM,0.2,Neutral,Neutral
1951,5,AMJ,0.4,Neutral,Neutral
1951,6,MJJ,0.6,El Nino,Weak/Mod El Nino
1951,7,JJA,0.7,El Nino,Weak/Mod El Nino
1951,8,JAS,0.9,El Nino,Weak/Mod El Nino
1951,9,ASO,1.0,El Nino,Weak/Mod El Nino
1951,10,SON,1.2,El Nino,Weak/Mod El Nino
1951,11,OND,1.0,El Nino,Weak/Mod El Nino
1951,12,NDJ,0.8,El Nino,Weak/Mod El Nino
1952,1,DJF,0.5,El Nino,Weak/Mod El Nino
1952,2,JFM,0.4,Neutral,Neutral
1952,3,FMA,0.3,Neutral,Neutral
1952,4,MAM,0.3,Neutral,Neutral
1952,5,AMJ,0.2,Neutral,Neutral
1952,6,MJJ,0.0,Neutral,Neutral
1952,7,JJA,-0.1,Neutral,Neutral
1952,8,JAS,0.0,Neutral,Neutral
1952,9,ASO,0.2,Neutral,Neutral
1952,10,SON,0.1,Neutral,Neutral
1952,11,OND,0.0,Neutral,Neutral
1952,12,NDJ,0.1,Neutral,Neutral
1953,1,DJF,0.4,Neutral,Neutral
1953,2,JFM,0.6,El Nino,Weak/Mod El Nino
1953,3,FMA,0.6,El Nino,Weak/Mod El Nino
1953,4,MAM,0.7,El Nino,Weak/Mod El Nino
1953,5,AMJ,0.8,El Nino,Weak/Mod El Nino
1953,6,MJJ,0.8,El Nino,Weak/Mod El Nino
1953,7,JJA,0.7,El Nino,Weak/Mod El Nino
1953,8,JAS,0.7,El Nino,Weak/Mod El Nino
1953,9,ASO,0.8,El Nino,Weak/Mod El Nino
1953,10,SON,0.8,El Nino,Weak/Mod El Nino
1953,11,OND,0.8,El Nino,Weak/Mod El Nino
1953,12,NDJ,0.8,El Nino,Weak/Mod El Nino
1954,1,DJF,0.8,El Nino,Weak/Mod El Nino
1954,2,JFM,0.5,El Nino,Weak/Mod El Nino
1954,3,FMA,0.0,Neutral,Neutral
1954,4,MAM,-0.4,Neutral,Neutral
1954,5,AMJ,-0.5,La Nina,Weak/Mod La Nina
1954,6,MJJ,-0.5,La Nina,Weak/Mod La Nina
1954,7,JJA,-0.6,La Nina,Weak/Mod La Nina
1954,8,JAS,-0.8,La Nina,Weak/Mod La Nina
1954,9,ASO,-0.9,La Nina,Weak/Mod La Nina
1954,10,SON,-0.8,La Nina,Weak/Mod La Nina
1954,11,OND,-0.7,La Nina,Weak/Mod La Nina
1954,12,NDJ,-0.7,La Nina,Weak/Mod La Nina
1955,1,DJF,-0.7,La Nina,Weak/Mod La Nina
1955,2,JFM,-0.6,La Nina,Weak/Mod La Nina
1955,3,FMA,-0.7,La Nina,Weak/Mod La Nina
1955,4,MAM,-0.8,La Nina,Weak/Mod La Nina
1955,5,AMJ,-0.8,La Nina,Weak/Mod La Nina
1955,6,MJJ,-0.7,La Nina,Weak/Mod La Nina
1955,7,JJA,-0.7,La Nina,Weak/Mod La Nina
1955,8,JAS,-0.7,La Nina,Weak/Mod La Nina
1955,9,ASO,-1.1,La Nina,Weak/Mod La Nina
1955,10,SON,-1.4,La Nina,Weak/Mod La Nina
1955,11,OND,-1.7,La Nina,Strong La Nina
1955,12,NDJ,-1.5,La Nina,Strong La Nina
1956,1,DJF,-1.1,La Nina,Weak/Mod La Nina
1956,2,JFM,-0.8,La Nina,Weak/Mod La Nina
1956,3,FMA,-0.6,La Nina,Weak/Mod La Nina
1956,4,MAM,-0.5,La Nina,Weak/Mod La Nina
1956,5,AMJ,-0.5,La Nina,Weak/Mod La Nina
1956,6,MJJ,-0.5,La Nina,Weak/Mod La Nina
1956,7,JJA,-0.6,La Nina,Weak/Mod La Nina
1956,8,JAS,-0.6,La Nina,Weak/Mod La Nina
1956,9,ASO,-0.5,La Nina,Weak/Mod La Nina
1956,10,SON,-0.4,Neutral,Neutral
1956,11,OND,-0.4,Neutral,Neutral
